trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-66.49286684011216,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,13,-19.235310514154747,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-15.00019715246528,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-42.03027771544139,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-194.92824992216404,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-43.032925399113445,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,15,-4.062703976021,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-74.56678550117783,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,8,-1.9984230499561573,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-132.9018805573647,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-180.6318020125213,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-81.92504267711344,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-79.33263793386294,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-35.28615369486612,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-124.41889533083558,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-53.69922752574594,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,12,-22.99750531258166,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-59.62097924886302,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-84.50592498571832,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,20.679464208346015,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-23.221375486298136,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,15,-3.3853466392882767,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,8,-27.99747461324052,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,11,-0.029244021407756726,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,-103.12406697362826,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,10,-6.076839315855125,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,-16.908589283144615,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,14,9.883681548250394,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-29.36034096346478,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,22.66741496673676,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
