trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.999741627472995}",20,0,-143.32654841728362,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.8, 'e': 0.99948325494599}",25,0,-225.4063182670239,"{0: 10, 1: 4, 2: 7, 3: 1, 4: 3}",0
3,False,"{'a': 0.8, 'e': 0.999224882418985}",30,11,-44.0727276673186,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 0}",1
4,False,"{'a': 0.8, 'e': 0.99896650989198}",25,0,-204.57531731444084,"{0: 11, 1: 2, 2: 6, 3: 5, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.998708137364975}",20,0,-151.3031025992172,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
6,False,"{'a': 0.8, 'e': 0.99844976483797}",30,4,-113.38258198565923,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 2}",1
7,False,"{'a': 0.8, 'e': 0.998191392310965}",20,0,-108.97962921325154,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.8, 'e': 0.99793301978396}",25,0,-152.67356354135734,"{0: 11, 1: 4, 2: 6, 3: 4, 4: 0}",0
9,False,"{'a': 0.8, 'e': 0.997674647256955}",25,0,-73.3143425846183,"{0: 13, 1: 6, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.8, 'e': 0.99741627472995}",30,0,-164.51877047262153,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
11,False,"{'a': 0.8, 'e': 0.997157902202945}",25,0,-142.45709964405353,"{0: 13, 1: 4, 2: 4, 3: 3, 4: 1}",0
12,False,"{'a': 0.8, 'e': 0.99689952967594}",20,0,-92.65096369034283,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.8, 'e': 0.996641157148935}",35,0,-135.6099390790272,"{0: 23, 1: 4, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.8, 'e': 0.99638278462193}",25,0,-215.23588864970463,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
