trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.999741627472995}",25,0,-181.48981045044317,"{0: 10, 1: 8, 2: 3, 3: 2, 4: 2}",0
2,False,"{'a': 0.8, 'e': 0.99948325494599}",25,0,-114.80485297895834,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.8, 'e': 0.999224882418985}",35,0,-177.5217420154044,"{0: 21, 1: 2, 2: 9, 3: 1, 4: 2}",0
4,False,"{'a': 0.8, 'e': 0.99896650989198}",20,0,-99.62879262266931,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.998708137364975}",20,0,-153.66952869243417,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.8, 'e': 0.99844976483797}",20,0,-107.00736900924959,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.8, 'e': 0.998191392310965}",25,0,-118.20360411398619,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.8, 'e': 0.99793301978396}",20,0,-99.03366174208443,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.8, 'e': 0.997674647256955}",20,0,-103.50350323838963,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.8, 'e': 0.99741627472995}",25,0,-146.16221956898983,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 1}",0
11,False,"{'a': 0.8, 'e': 0.997157902202945}",20,0,-129.4540594293476,"{0: 8, 1: 2, 2: 7, 3: 3, 4: 0}",0
12,False,"{'a': 0.8, 'e': 0.99689952967594}",20,0,-61.5166268555636,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.8, 'e': 0.996641157148935}",20,0,-108.7789034592295,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.8, 'e': 0.99638278462193}",25,0,-160.22137063558628,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
15,False,"{'a': 0.8, 'e': 0.996124412094925}",20,0,-79.39210562828026,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.8, 'e': 0.99586603956792}",20,0,-71.70098897653524,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.8, 'e': 0.995607667040915}",20,0,-169.4857404935248,"{0: 7, 1: 3, 2: 8, 3: 0, 4: 2}",0
18,False,"{'a': 0.8, 'e': 0.99534929451391}",30,0,-38.099270567962606,"{0: 23, 1: 0, 2: 7, 3: 0, 4: 0}",0
19,False,"{'a': 0.8, 'e': 0.995090921986905}",25,0,-92.38896405181826,"{0: 17, 1: 5, 2: 1, 3: 0, 4: 2}",0
