trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,9,-80.7080789969697,"{0: 4, 1: 1, 2: 4, 3: 2, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.70924371843666,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.27775003570775,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.628209020404405,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.2929536555575,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.13507211603402,"{0: 8, 1: 6, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.40082921682978,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-114.74366534822218,"{0: 17, 1: 6, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.02349431323455,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-199.34981397988938,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,6,-148.40281708903498,"{0: 12, 1: 2, 2: 6, 3: 3, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.06965354917625,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.59259067856416,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.66155700924008,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.3463403664806,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-212.77133712409946,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.41636042307024,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,8,-81.85998981331319,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.79166722224558,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,2,-178.63133152648717,"{0: 7, 1: 2, 2: 4, 3: 3, 4: 2}",1
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-181.51429341051204,"{0: 21, 1: 5, 2: 4, 3: 3, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-245.30156427884123,"{0: 11, 1: 5, 2: 3, 3: 2, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,9,6.292919982456904,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-95.25941013577038,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-160.71066114494812,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-142.9822699823369,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-41.42108381773891,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-133.47111778244584,"{0: 21, 1: 5, 2: 7, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-181.5508495533785,"{0: 10, 1: 5, 2: 7, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-122.66039569448468,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
